headline,publisher,date,stock,headline_length,keywords,hour
"Earnings Scheduled For September 18, 2017",Lisa Levin,,STNG,41,"['earnings scheduled', 'september']",
"Top 4 Stocks In The Movie Production, Theaters Industry With The Highest Operating Margin",Monica Gerson,,DWA,89,"['top', 'stocks', 'movie production', 'theaters', 'highest', 'margin']",
Options Alert - ZIOPHARM Oncology,Christopher Brecher,,ZIOP,33,"['options alert', 'ziopharm oncology']",
Wall Street's M&A Chatter From February 13,Charles Gross,,GIG,42,"['wall', ""street 's m"", 'chatter', 'february']",
44 Biggest Movers From Friday,Lisa Levin,,IO,29,['biggest movers'],
"Earnings Scheduled For February 11, 2016",Monica Gerson,,MOS,40,"['earnings scheduled', 'february']",
Fast Money Picks For May 10,Craig Jones,,NRF,27,"['fast', 'picks', 'may']",
Shares of several oil and gas companies are trading lower on seemingly no sector-specific news. The weakness in price action can potentially be attributed to weakness in the overall market.,Benzinga Newsdesk,2019-07-25 18:17:24+00:00,ESV,189,"['shares', 'gas companies', 'sector-specific news', 'price action', 'overall market']",18.0
'Novavax Nears Maternal Immunization Results for RSV Vaccine' -MD Magazine Reports,Benzinga_Newsdesk,,NVAX,82,"['nears maternal immunization', 'rsv vaccine', 'magazine']",
Transocean Shares Spike Higher Over $11.20 Level as Traders Pass Around Unconfirmed Takeover Chatter; Watch for Near-Term Parabolic Move Higher,Paul Quintaro,,RIG,143,"['transocean shares spike', 'level', 'traders pass around unconfirmed takeover chatter', 'watch', 'near-term parabolic move']",
30 Stocks With Three-Day Increasing Volume,Monica Gerson,,DRNA,42,"['stocks', 'three-day']",
A Peek Into The Markets: US Stock Futures Rise Ahead Of Auto Sales,Lisa Levin,,CGIX,66,"['peek', 'markets', 'us stock', 'futures rise ahead', 'auto']",
Universal Display Sees FY19 Sales $325M-$350M vs $341.9M Estimate,Benzinga Newsdesk,,OLED,65,"['universal display', 'fy19', '$ 325m- $ 350m vs $ 341.9m', 'estimate']",
ARC Raises FY18 EPS From $0.10-$0.16 To $0.12-$0.17,Benzinga_Newsdesk,,ARC,51,"['arc raises fy18 eps', '$ 0.10- $', '$ 0.12- $']",
"JP Morgan Initiates Coverage on Marathon Petroleum Corporation at Neutral, Announces $62.00 PT",Juan Lopez,,MPC,94,"['jp morgan initiates coverage', 'marathon petroleum', 'neutral', 'announces', 'pt']",
"CRA Int'l Reports Q2 Adj. EPS $0.38, Inline, Sales $76.5M vs $79.3M Est.",Paul Quintaro,,CRAI,72,"['cra int', 'l reports', 'q2 adj', 'eps', 'inline', '$ 76.5m vs $ 79.3m', 'est']",
"Egyptian Central Bank Raises Benchmark Interest Rates by 1.5%: Deposit Rate to 10.75%, Lending Rate to 11.75%",Paul Quintaro,,EGPT,109,"['egyptian', 'central bank', 'raises benchmark interest rates', 'deposit rate', 'lending rate']",
Echo Therapeutics Announces 1-for-10 Reverse Split,Paul Quintaro,,ECTE,50,"['echo therapeutics announces', 'reverse']",
Rio Tinto Price Estimate Reduced to a $105 a Share at Morgan Stanley -Bloomberg,Theo Kratz,,MS,79,"['rio tinto price estimate reduced', 'share', 'morgan stanley']",
Here's How Sell-Side Analysts Responded To Wells Fargo's Cross-Sales Scam Story,Shanthi Rexaline,,WFC,79,"['sell-side', 'responded', 'fargo', 'cross-sales scam']",
TransCanada to Apply For Approval to Run Keystone XL Through Nebraska,Paul Quintaro,,TRP,69,"['transcanada', 'apply', 'approval', 'run keystone xl', 'nebraska']",
"Rumored Activist Interest In The Rails: Why CSX, Why Now?",Wayne Duggan,,CSX,57,"['rumored activist interest', 'rails', 'csx']",
Equifax Q3 EPS $1.48 Beats $1.44 Estimate,Benzinga Newsdesk,,EFX,41,"['equifax q3 eps', 'beats', 'estimate']",
"The Daily Biotech Pulse: FDA Nod For Novocure, Dynavax Restructures, Therapix Receives Nasdaq Notice",Shanthi Rexaline,,BLCM,100,"['biotech pulse', 'fda nod', 'novocure', 'dynavax restructures', 'therapix receives nasdaq notice']",
"Spectra Energy, Northeast Utilities Report New England Energy Reliability Solution",Paul Quintaro,,NU,82,"['spectra energy', 'utilities', 'england energy reliability solution']",
"Morgan Stanley Upgrades Chinese Financials To Attractive, Believes Negatives Are More Than Priced In And Sees Dividend Sustainability Maintaining Valuations",Paul Quintaro,2016-11-11 13:18:52+00:00,CHIX,156,"['morgan stanley upgrades', 'financials', 'attractive', 'believes negatives', 'than priced', 'dividend sustainability maintaining valuations']",13.0
EverQuote Opens At $20.59 vs IPO Price Of $18/Share,Benzinga Newsdesk,,EVER,51,"['everquote opens', 'ipo price', '$ 18/share']",
Shares of several Chinese companies are trading lower following a tweet from President Trump hinting at more tariffs on China and a new trade war. China has indicated it may back out of negotiations this week.,Benzinga Newsdesk,,MOMO,209,"['shares', 'chinese companies', 'trump', 'china', 'new trade war', 'china']",
Capital One Talks HSBC Acquisition,Steven Anfield,,COF,34,"['capital', 'talks hsbc acquisition']",
Premarket Stock Talk: June 5,PreMarketInfo,,DB,28,"['premarket', 'talk', 'june']",
Kimco to Sell Mexican Shopping Center Portfolio for $92M,Paul Quintaro,,KIM,56,"['kimco', 'sell', 'mexican shopping center', 'portfolio', '$ 92m']",
Huge Call Spread Trades on News Corporation,Michael J. Zerinskas,,NWSA,43,"['huge call spread trades', 'news corporation']",
From Green Mountain Call: Talking to Potential New K-Cup Partners,Paul Quintaro,,GMCR,65,"['mountain call', 'potential', 'k-cup partners']",
"Benzinga Pro Morning Price Check For Regional ETFs: China (FXI) Up 1.2%, Brazil (EWZ) Down 0.2%, Switzerland (EWL) Down 0.5%, US (SPY) Down 1.3%, United Kingdom (EWU) Down 1.3%, Japan (EWJ) Down 0.6%, Canada (EWC) Down 1.4%, Africa (EZA) Down 2.8%",Benzinga Newsdesk,,EWJ,247,"['benzinga pro morning price', 'etfs', 'china', 'fxi', 'up', 'brazil', 'ewz', 'down', 'switzerland', 'ewl', 'down', 'spy', 'down', 'kingdom', 'ewu', 'down', 'japan', 'ewj', 'down', 'canada', 'ewc', 'down', 'africa', 'eza', 'down']",
Shares of several oil and gas companies are trading higher amid eased trade tensions after China's Commerce Ministry stated they are open to dialogue to resolve trade tensions. Mexican officials also said they could find common ground with the US.,Benzinga Newsdesk,,CLR,247,"['shares', 'gas companies', 'trade tensions', 'china', ""'s commerce"", 'ministry', 'trade tensions', 'mexican officials', 'common ground']",
"Eclipse Resources Corporation Announces Agreements to Acquire New Utica Development Area For $93.7M, Area Is 44,500 Net Acre Position In Tioga And Potter Counties",Eddie Staley,,ECR,162,"['eclipse resources', 'announces agreements', 'acquire', 'utica', 'development area', '$ 93.7m', 'acre position', 'tioga', 'potter']",
UPDATE: Cree Says Q3 Sales Guidance Below Previously Issued Range,Paul Quintaro,,CREE,65,"['update', 'cree says q3', 'guidance below previously issued']",
TIG Advisors Says Altera Stockholders Should Have Right To Choose Between Intel's Reported $54/Share Cash Offer And Uncertain Future Of Standalone Altera,Charles Gross,,ALTR,153,"['tig', 'says altera stockholders', 'have right', 'choose', 'intel', 'reported', '$ 54/share', 'cash offer', 'uncertain', 'standalone altera']",
5 Energy Stocks Moving In Wednesday's Pre-Market Session,Lisa Levin,,NBR,56,"['energy stocks', 'pre-market session']",
Top 4 NYSE Stocks In The Auto Dealerships Industry With The Highest ROE,Monica Gerson,,PAG,71,"['top', 'nyse stocks', 'auto dealerships', 'highest roe']",
Seeing Notable Block Trade in Dow Chemical: 950K Shares at $62.25,Paul Quintaro,,DOW,65,"['seeing', 'block', 'dow', 'shares']",
Looking To Buy Shares Of Macy's Or Kohl's? Listen To This Pro First,Jayson Derrick,,KSS,67,"['looking', 'buy shares', 'macy', 'kohl', 'listen', 'pro']",
"Marathon Petroleum, MPLX LP Announce They Will Exchange Marathon's General Partner Economic Interests, Including IDRs For MPLX Common Units; Will Exchange For 275M MPLX Units Valued At $10.1B",Eddie Staley,,MPLX,191,"['marathon petroleum', 'mplx lp announce', 'will', 'marathon', 'partner', 'interests', 'including idrs', 'mplx', 'units', 'will', 'mplx units valued', '$ 10.1b']",
Compass Point Downgrades Ares Capital to Neutral,Benzinga_Newsdesk,,ARCC,48,"['compass', 'downgrades ares capital', 'neutral']",
"UPDATE: FBR Capital Maintains Perform, Lowers PT to $28 on Texas Instruments",Phil Marsh,,TXN,76,"['update', 'fbr capital maintains perform', 'lowers pt', 'texas instruments']",
"Kinross Reports Q4 EPS $(0.06) vs. Est. $(0.05), Rev. $706.2M vs. Est. $677.69M",Hal Lindon,,KGC,79,"['kinross', 'q4 eps', 'est', 'rev', '$ 706.2m', 'est', '$ 677.69m']",
"Men's Wearhouse Announces Extension of Expiration Date for Tender Offer to Jun. 5th, 2014",Paul Quintaro,,MW,89,"['men', 'wearhouse announces', 'expiration date', 'tender offer', 'jun']",
Starbucks Is Outperforming Peers In The 'Oligopolistic Premium Grocery Coffee Market',Monica Gerson,2016-08-02 12:02:38+00:00,GMCR,85,"['starbucks', 'outperforming peers', 'premium', 'coffee market']",12.0
"ICON, IBM Partner On Clinical Trial Feasibility, Patient Recruitment & Study Start-Up Timelines",Hal Lindon,,ICLR,95,"['icon', 'ibm partner', 'clinical trial feasibility', 'patient recruitment', 'start-up timelines']",
"The Market In 5 Minutes: Stumpf Leaves Wells Fargo, More Trump Allegations",Benzinga News Desk,,FIVE,74,"['market', 'minutes', 'stumpf leaves', 'fargo', 'trump allegations']",
Canadian Solar Awaits Canada Anti-Dumping Decision,John Seward,,CSIQ,50,['solar awaits canada anti-dumping decision'],
"Earnings Scheduled For March 7, 2014",Monica Gerson,,BIG,36,"['earnings scheduled', 'march']",
"Benzinga's Top Upgrades, Downgrades For December 20, 2019",Lisa Levin,,LPG,57,"['benzinga', 'top upgrades', 'downgrades', 'december']",
Wedbush Downgrades Select Comfort to Neutral,Eddie Staley,,SCSS,44,"['wedbush downgrades select comfort', 'neutral']",
Regis Corporation Reports Q4 EPS of $(0.10) vs $0.04 Est; Revenue of $483.0M vs $477.50M Est,Charles Gross,,RGS,92,"['regis', 'corporation reports', 'q4 eps', 'vs $', 'est', '$ 483.0m vs $ 477.50m', 'est']",
UPDATE: Diamond Foods Reports Q3 GAAP Loss of $0.71/Share,Paul Quintaro,,DMND,57,"['update', 'diamond', 'q3 gaap loss', '$ 0.71/share']",
"Nomura Maintains International Game Technology at Neutral, Raises PT from $14 to $15",Juan Lopez,,IGT,84,"['nomura maintains', 'game', 'neutral', 'raises pt']",
"Amid Soaring Growth, ETF Industry Misses Good Ideas",ETF Professor,,BWLD,51,"['amid soaring', 'etf', 'ideas']",
Morning Market Losers,Lisa Levin,,DSCI,21,['morning market losers'],
Molycorp Files Claim in Colorado Against M&K Related to Defects in Engineering Services,Paul Quintaro,,MCP,87,"['molycorp files claim', 'colorado against', 'k related', 'defects', 'engineering']",
"Janney Capital Initiates Coverage on Foundation Medicine at Neutral, Announces $28.00 PT",Paul Quintaro,,FMI,88,"['janney capital initiates coverage', 'medicine', 'neutral', 'announces', 'pt']",
"Brean Capital Upgrades Chesapeake Utilities Corporation to Buy, Announces $58.00 PT",Paul Quintaro,,CPK,83,"['brean capital upgrades chesapeake utilities', 'buy', 'announces', 'pt']",
"MMSA, GoPro Announce New Resort Partnership",Charles Gross,,GPRO,43,"['mmsa', 'gopro announce', 'resort partnership']",
Option Alert: Red Hat Feb $67.5 Call; 2001 Contract Trade at Ask @$0.55; Now $66.66,Charles Gross,,RHT,83,"['option alert', 'red hat', 'feb', 'call', 'contract', '@ $']",
"Wall Street's M&A Chatter From August 2: Food Stocks, PharMerica, Hasbro-Lionsgate",Charles Gross,,HAS,82,"['wall', ""street 's m"", 'chatter', 'august', 'stocks', 'pharmerica', 'hasbro-lionsgate']",
Deutsche Bank Maintains Buy on 3M,BenzingaStaffJ,,MMM,33,"['deutsche', 'maintains buy']",
Carnival Corporation Reports Q1 EPS of $0.08 vs $0.02 Est; Revenue of $3.59B vs $3.63B Est,Paul Quintaro,,CCL,90,"['carnival corporation reports', 'q1 eps', 'vs $', 'est', '$ 3.59b vs $ 3.63b', 'est']",
"Denbury Resources Resumes Trading, Up 2.61% Today",Paul Quintaro,,DNR,49,"['denbury resources resumes', 'up']",
Xyratex Earnings Preview: Can It Beat Low Expectations?,Nelson Hem,2011-09-29 11:56:43+00:00,UWM,55,"['xyratex earnings preview', 'low expectations']",11.0
A Peek Into The Market Before The Trading Starts,Lisa Levin,,HAR,48,"['peek', 'market']",
Barnes & Noble Announces NOOK Video Offering UK,Charles Gross,,BKS,47,"['barnes', 'noble announces nook video offering uk']",
10 Biotechnology Stocks Moving In Monday's Pre-Market Session,Benzinga Newsdesk,,CLVS,61,"['biotechnology stocks', 'pre-market session']",
Senate Approves Procedural Measure Clearing Way For Final Vote On US-Mexico-Canada Trade Agreement,Benzinga Newsdesk,,EWC,98,"['approves procedural', 'clearing', 'final vote', 'us-mexico-canada', 'agreement']",
Watch These 7 Huge Call Purchases In Wednesday Trade,Monica Gerson,,THC,52,"['watch', 'huge call purchases']",
"UPDATE: KeyBanc Capital Markets Upgrades The Bon-Ton Stores to Buy, Reiterates $15 PT",Dwight Einhorn,,BONT,85,"['update', 'keybanc capital markets upgrades', 'bon-ton stores', 'buy', 'reiterates', 'pt']",
UPDATE: Bank of America Raises Price Target on LinkedIn from $92 to $108,Lydia Davidson,,LNKD,72,"['update', 'america raises price target', 'linkedin']",
"Apple, Citigroup, Goldman Sachs, Schlumberger: Fast Money Picks For June 14",Craig Jones,,C,75,"['apple', 'citigroup', 'goldman sachs', 'schlumberger', 'fast', 'picks', 'june']",
Cramer Says St. Jude Is A 'Very Responsible Company' But Abbott Needs To 'Take A Hard Look' At Merger Agreement,Jayson Derrick,,STJ,111,"['cramer says', 'jude', 'responsible', 'abbott needs', 'hard', 'agreement']",
"UPDATE: Deutsche Bank Reiterates Buy Rating, Lowers PT on Fortinet",Dwight Einhorn,,FTNT,66,"['update', 'deutsche', 'reiterates buy rating', 'lowers pt', 'fortinet']",
Tandy Leather Factory Reports February 2011 Sales Up 7% Over February 2010,Benzinga Staff,,TLF,74,"['tandy leather', 'factory reports', 'february', 'up', 'february']",
Earnings Scheduled For January 31,Monica Gerson,,ILMN,33,"['earnings scheduled', 'january']",
Chipotle vs. Panera Bread - Which Will Stuff Your Wallet?,Tabitha Jean Naylor,,PNRA,57,"['chipotle', 'panera bread', 'will stuff your wallet']",
"Citigroup Downgrades DaVita to Hold, PT Lowered to $77",Joe Young,,DVA,54,"['citigroup downgrades davita', 'hold', 'pt lowered']",
"DA Davidson Initiates Coverage On Fifth Third Bancorp with Buy Rating, Announces $19 Price Target",Vick Meyer,,FITB,97,"['da davidson initiates coverage', 'bancorp', 'buy rating', 'announces', 'price target']",
50 Biggest Movers From Monday,Lisa Levin,,LMRK,29,['biggest movers'],
Alibaba Investors Cheer Following Q1 Beat,R. Chandrasekaran,,BABA,41,"['alibaba', 'cheer following q1']",
FNB Reports Q1 EPS $0.19 vs $0.19 Est,webmaster,,FNB,37,"['fnb', 'q1 eps', 'vs $', 'est']",
60 Biggest Movers From Yesterday,Lisa Levin,,OXY,32,"['biggest movers', 'yesterday']",
Benzinga's Top #PreMarket Gainers,Monica Gerson,,CLNE,33,"['benzinga', 'top', 'premarket gainers']",
CME Group Down After Missing Earnings Estimates (CME),Bud Fox,,CME,53,"['cme', 'down', 'missing earnings', 'cme']",
Jacobs Secures Contract 'Supporting Development of the Next Generation of Commercial Vehicles for Ford',Benzinga Newsdesk,,F,103,"['jacobs secures contract', 'generation', 'commercial vehicles', 'ford']",
AerCap Reports Proposed Private Offering of $800M in Notes,Paul Quintaro,,AER,58,"['aercap', 'proposed', 'offering', '$ 800m', 'notes']",
"UPDATE: Raymond James Reiterates Outperform On Coupa Software, Raises Target To $170 Notes 'we'd use any weakness as a buying opportunity, as we'd be hard pressed to find companies growing revenue/billings 40%+ organically'",Benzinga_Newsdesk,,COUP,223,"['update', 'raymond james reiterates outperform', 'coupa software', 'raises target', 'notes', ""'we 'd use"", 'buying opportunity', '% +']",
54 Biggest Movers From Yesterday,Lisa Levin,,GEVO,32,"['biggest movers', 'yesterday']",
Raymond James Upgrades Criteo to Outperform,Benzinga Newsdesk,,CRTO,43,"['raymond james upgrades criteo', 'outperform']",
55 Biggest Movers From Yesterday,Lisa Levin,,BC,32,"['biggest movers', 'yesterday']",
"The Daily Biotech Pulse: Enanta Aces Midstage NASH Study, Takeda's Ulcerative Colitis Drug Found Superior To AbbVie's, Decision Day For J&J",Shanthi Rexaline,,BMY,139,"['biotech pulse', 'enanta aces midstage nash', 'takeda', 'ulcerative colitis drug found', 'abbvie', 'decision']",
"Earnings Scheduled For May 7, 2013",Lisa Levin,,JAZZ,34,"['earnings scheduled', 'may']",
Acorda Announces EMA Validation Of MAA Submission Of INBRIJA For Treatment Of OFF Symptoms In Parkinson's Patients,Benzinga Newsdesk,,ACOR,114,"['acorda announces ema validation', 'maa submission', 'inbrija', 'off symptoms', 'parkinson', 'patients']",
"Raymond James Upgrades Mattress Firm Holding Corp. to Outperform, Announces $37.00 PT",Paul Quintaro,,MFRM,85,"['raymond james upgrades mattress', 'holding', 'outperform', 'announces', 'pt']",
Magna International Spikes to $38.71 on Vol,Charles Gross,,MGA,43,"['magna', 'spikes', 'vol']",
Guggenheim Initiates Coverage On Alliance Data Systems Corporation Common Stock at Buy,Paul Quintaro,,ADS,86,"['guggenheim initiates coverage', 'data systems', 'common stock', 'buy']",
"Hearing Unconfirmed Market Chatter of Einhorn Stake, LBO in Apollo Group",Charles Gross,,APOL,72,"['hearing unconfirmed market chatter', 'einhorn stake', 'lbo', 'apollo']",
"Affimed Q1 EPS €0.03 vs €(0.15) In Same Qtr. Last Year, Sales €11.353M vs €532K",Benzinga Newsdesk,,AFMD,79,"['affimed q1 eps', '€0.03 vs €', 'qtr', '€11.353m vs €532k']",
"Benzinga's M&A Chatter for Wednesday January 29, 2014",Charles Gross,,VMEM,53,"['benzinga', ""'s m"", 'chatter', 'january']",
"The Daily Biotech Pulse: Osmotica Soars On Insider Buys, Ultragenyx's Partnered Rare Disease Drug Moves Into Clinics",Shanthi Rexaline,,IBB,116,"['biotech pulse', 'osmotica soars', 'insider buys', 'ultragenyx', 'partnered rare disease drug moves', 'clinics']",
Natural Gas Supply on the Rise - Analyst Blog,Zacks,,HAL,45,"['natural gas supply', 'rise', 'analyst blog']",
Oppenheimer Reports Muted 2Q for Texas Instruments,BenzingaStaffB,,TXN,50,"['oppenheimer', 'muted', 'texas instruments']",
15 Biggest Mid-Day Losers For Tuesday,Lisa Levin,,BDSI,37,['biggest mid-day losers'],
"Allergan Announces Will Restructure, Expecting to Cut Headcount by 1,500 Positions",Paul Quintaro,,AGN,82,"['allergan announces will restructure', 'expecting', 'cut headcount', 'positions']",
Shares of several technology companies are trading lower. Movement appears market related as markets continue to dip amid the global coronavirus outbreak.,luke@benzinga.com,,INTU,154,"['shares', 'technology companies', 'movement', 'global coronavirus outbreak']",
Shares of companies in the semiconductor space are trading lower after Texas Instruments reported worse-than-expected Q3 sales and issued soft Q4 guidance.,Benzinga Newsdesk,,CRUS,155,"['shares', 'semiconductor space', 'texas instruments', 'q3', 'q4']",
6 SaaS Acquisitions Seen In 2016 Signal A Shift In Private Equity Appetite,Javier Hasse,2016-06-01 20:21:58+00:00,SQI,74,"['saas acquisitions seen', 'shift', 'equity appetite']",20.0
"Stocks Fall Sharply From Open; S&P 500 Futures Down 0.2% Over Last 30 Mins, Nasdaq Leading Averages Lower, Down ~0.1% For Session While S&P 500 Cash, Dow 30 Both Positive",Benzinga Newsdesk,,QQQ,170,"['stocks', 'sharply', 'futures down', 'mins', 'nasdaq', 'averages lower', 'down', '~0.1 %', 'session', 'cash', 'dow', 'positive']",
"Former Fed Economist Blinder on Bloomberg Says QE3 May be Waiting in the Wings, Could be Civil War Among Fed Governors; Fed Has Nothing Powerful Enough to Combat Fiscal Cliff",Paul Quintaro,,TLT,174,"['fed economist blinder', 'bloomberg says qe3 may', 'waiting', 'wings', 'civil war', 'fed governors', 'fed', 'powerful enough', 'combat fiscal cliff']",
Benzinga's Volume Movers,Lisa Levin,,EA,24,"['benzinga', ""'s volume"", 'movers']",
"Netflix Partnering To Enter China, New Report Says",Jayson Derrick,,BABA,50,"['netflix partnering', 'enter china', 'says']",
"ProPhase Labs Reports Q4 EPS $(0.17) vs. YoY $(0.21), Sales $21M vs. YoY $20.6M",Paul Quintaro,,PRPH,79,"['prophase labs', 'q4 eps', 'yoy', '$ 21m', 'yoy', '$ 20.6m']",
John Bean Technologies Reports Q2 EPS $0.27 vs $0.24 Est; Revenues $214.4M vs $229.20M Est,Paul Quintaro,,JBT,90,"['john bean technologies', 'q2 eps', 'vs $', 'est', 'revenues', '$ 214.4m vs $ 229.20m', 'est']",
Steve Eisman Recommends Willis Group at Ira Sohn,Allie Wickman,,WSH,48,"['steve eisman recommends willis', 'ira sohn']",
Morning Market Losers,Lisa Levin,,NL,21,['morning market losers'],
"La-Z-Boy Voluntarily Recalls ~4,000 Control Wands",Eddie Staley,,LZB,49,"['la-z-boy voluntarily recalls', '~4,000 control', 'wands']",
Stocks Going Ex Dividend the Second Week of August 2010,Fred Fuld,,DUK,55,"['stocks going ex dividend', 'august']",
"XL Group Upgraded To Buy At UBS, Says Benefits Of Catlin Buy 'Not Fully Reflected In Stock'",Kevin Riley,,XL,91,"['xl', 'upgraded', 'buy', 'ubs', 'says benefits', 'catlin buy', 'fully reflected']",
"Canaccord Genuity Maintains Hold on Hologic, Lowers Price Target to $50",Vick Meyer,,HOLX,71,"['canaccord genuity maintains hold', 'hologic', 'lowers price target']",
"Networking Names Working Well Today (OPLK, JDSU, OPXT, FNSR)",Jonathan Chen,,OCLR,60,"['networking names working well', 'oplk', 'jdsu', 'opxt', 'fnsr']",
5 Industrial Goods Stocks Insiders Are Bullish About,Insider Monkey,,DOV,52,"['goods stocks insiders', 'bullish']",
Markets Rally On Better Than Expected GDP; Dow Has Best Close In More Than A Month,Jayson Derrick,,KNDI,82,"['markets rally', 'than expected gdp', 'dow', 'close', 'than', 'month']",
"Cyprus: Not About the Money, It's About the Politics and the Precedent",Matthew Kanterman,,EWP,70,"['cyprus', 'politics', 'precedent']",
How Retail Traders Can Diversify Their Portfolios,Ron Wilson,,FAZ,49,"['traders', 'diversify', 'portfolios']",
Is Coach Still America's Premier Luxury Brand?,Jay Wong,,RL,46,"['america', ""'s premier"", 'luxury brand']",
"Burlington Stores Reports Q4 EPS $2.17 vs $2.10 Est., Sales $1.937B vs $1.89B Est.",Eddie Staley,,BURL,82,"['burlington stores', 'q4 eps', 'vs $', 'est.', '$ 1.937b vs $ 1.89b', 'est']",
"Diana Shipping Reports Time Charter Contract For m/v Naias With Phaethon, Gross Charter Rate $10K/Day",Paul Quintaro,,DSX,101,"['diana shipping', 'reports time', 'charter contract', 'naias', 'phaethon', 'gross charter rate', '$ 10k/day']",
Is Twitter The Next Yahoo?,Jim Swanson,,YHOO,26,"['twitter', 'yahoo']",
"Cal-Maine Foods Reports Deal to Buy Egg Production Assets of Happy Hen Egg Farms, No Terms Disclosed",Paul Quintaro,,CALM,100,"['cal-maine', 'deal', 'buy egg production assets', 'happy hen egg farms', 'terms disclosed']",
Shares of several software companies are trading higher with the overall market after the U.S. announced it is excluding and delaying the additional 10% tariff on certain products.,Benzinga Newsdesk,,SNPS,180,"['shares', 'software companies', 'overall market', 'u.s.', '% tariff', 'certain products']",
Rigel Pharma Option Alert: Apr 20 $5 Calls at the Ask: 5000 @ $0.7 vs 5611 OI; Earnings 5/1 After Close [est] Ref=$3.625,Charles Gross,,RIGL,120,"['rigel pharma option alert', 'apr', '@ $', 'oi', 'earnings', 'close', '[ est ]', 'ref=']",
Gran Tierra Energy Reports EPS of $0.05 vs. $0.10 Estimate; Revenues $122.5M vs. $107.78M Estimate (GTE),Allie Wickman,,GTE,104,"['gran tierra energy', 'eps', 'estimate', 'revenues', '$ 122.5m', '$ 107.78m', 'estimate', 'gte']",
Heat Biologics Announces Suspension of Proposed Public Offering of Common Stock,Paul Quintaro,,HTBX,79,"['heat biologics announces suspension', 'proposed', 'offering', 'common stock']",
30 Stocks Moving In Friday's Mid-Day Session,Lisa Levin,2019-05-24 17:00:17+00:00,DGSE,44,"['stocks', 'mid-day session']",17.0
"Top Performing Industries For October 7, 2014",Lisa Levin,,FORR,45,"['top performing', 'october']",
"After-Hours Gainers Aug. 8, 2016: HIIQ Up 36%, REN 20%, CCXI 14.4%, FH 14.3%, FGEN 10.4%, AMPH 9.4%, CSLT 8.9%, NVRO 8.7%, ENDP 7.5%",Paul Quintaro,,NVRO,132,"['after-hours gainers aug.', 'hiiq up', 'ren', 'ccxi', 'fh', 'fgen', 'amph', 'cslt', 'nvro', 'endp']",
Shares of several Chinese companies are trading lower on escalated trade tensions after China announced it plans to impose a 5% to 10% tariff rate on $75 billion worth of U.S. goods.,Benzinga Newsdesk,,TSM,182,"['shares', 'chinese companies', 'trade tensions', 'china', '% tariff rate', 'u.s.']",
"Must Watch Stocks for August 14, 2015",Monica Gerson,,AZPN,37,"['watch stocks', 'august']",
McDonald's Corp Finds Resistance,Hal Lindon,,MCD,32,"['mcdonald', 'corp finds resistance']",
A List Of Stocks Reaching New 52-Week Highs,Lisa Levin,,IDA,43,"['list', 'stocks reaching', 'new 52-week', 'highs']",
Armada Hoffler Properties Increases Dividend 6.3% To $0.17,Eddie Staley,,AHH,58,['armada hoffler properties increases dividend'],
Boston Beer (SAM) Hits 52-Week Low: What's Dragging it Down?,Zacks,,STZ,60,"['beer', 'sam', 'hits', 'low', 'dragging', 'down']",
"Benzinga Pro's Top 10 Most-Searched Tickers For Morning of Fri., May 24, 2019",Benzinga Newsdesk,,FL,77,"['benzinga pro', 'top', 'most-searched tickers', 'morning', 'fri.', 'may']",
136 Biggest Movers From Yesterday,Lisa Levin,,HT,33,"['biggest movers', 'yesterday']",
"Stocks Which Set New 52-Week Low Friday, October 26th",Benzinga Newsdesk,,BIP,53,"['stocks', 'set', 'new 52-week', 'low', 'october']",
"ACE Beats Estimates, Ups Guidance - Analyst Blog",Zacks,,ACE,48,"['ace beats', 'ups guidance', 'analyst blog']",
"Boise Cascade Earlier Reported Q4 Adj. EPS $0.28 vs $0.32 Est., Sales $1.1B vs $1.04B Est.",Paul Quintaro,,BCC,90,"['boise cascade', 'reported q4 adj', 'eps', 'vs $', 'est.', '$ 1.1b vs $ 1.04b', 'est']",
UPDATE: Piper Jaffray Upgrades Lowe's; Raises PT,Delores Land,,LOW,48,"['update', 'piper jaffray upgrades lowe', 'raises pt']",
"UBS Maintains Buy on Fluor, Lowers Price Target to $29",Vick Meyer,,FLR,54,"['ubs maintains buy', 'fluor', 'lowers price target']",
"Benzinga Pro Mid-Day Price Check For Sector ETFs: Staples (VDC) Up 1.6%, Tech (XLK) Up 1.5%, Financials (XLF) Up 1.2%, Industrials (VIS) Up 0.9%, Retail ETF (XRT) Up 0.8%, Energy (XLE) Up 0.7%, Utilities (VPU) Up 0.7%",Brad Hammond,,VIS,217,"['benzinga pro mid-day price', 'sector etfs', 'staples', 'vdc', 'up', 'tech', 'xlk', 'up', 'financials', 'xlf', 'up', 'industrials', 'vis', 'up', 'etf', 'xrt', 'up', 'energy', 'xle', 'up', 'utilities', 'vpu', 'up']",
Primary Metals The Culprit In Alcoa's Disappointing Q3,Manikandan Raman,,AA,54,"['primary metals', 'culprit', 'alcoa', 'disappointing q3']",
"Bookkeeping: Weekly Changes to Fund Positions Year 4, Week 7",tradermark,,EJ,60,"['bookkeeping', 'weekly', 'positions']",
"Earnings Scheduled For October 22, 2018",Lisa Levin,,HAS,39,"['earnings scheduled', 'october']",
